antecedents,consequents,lift
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG SUKI DESIGN ",LUNCH BAG RED RETROSPOT,8.716660093989287
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG SPACEBOY DESIGN ,11.176276986657443
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG WOODLAND,12.485653104925053
"LUNCH BAG WOODLAND, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG RED RETROSPOT,9.16581550494594
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG SUKI DESIGN ,10.56884863088831
"LUNCH BAG WOODLAND, LUNCH BAG SUKI DESIGN ",LUNCH BAG RED RETROSPOT,10.404495518643657
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER ,20.2977511603781
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER ",PINK REGENCY TEACUP AND SAUCER,21.03023295649195
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",REGENCY CAKESTAND 3 TIER,6.614043215695992
"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE LIVINGROOM ",POPPY'S PLAYHOUSE KITCHEN,48.596531791907516
"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE KITCHEN",POPPY'S PLAYHOUSE LIVINGROOM ,53.85189351331083
"POPPY'S PLAYHOUSE LIVINGROOM , POPPY'S PLAYHOUSE KITCHEN",POPPY'S PLAYHOUSE BEDROOM ,50.73523697380042
POPPY'S PLAYHOUSE BEDROOM ,"POPPY'S PLAYHOUSE LIVINGROOM , POPPY'S PLAYHOUSE KITCHEN",50.73523697380042
POPPY'S PLAYHOUSE LIVINGROOM ,"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE KITCHEN",53.851893513310834
POPPY'S PLAYHOUSE KITCHEN,"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE LIVINGROOM ",48.596531791907516
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER ,20.87320505388962
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",GREEN REGENCY TEACUP AND SAUCER,24.18779455533408
"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",PINK REGENCY TEACUP AND SAUCER,25.53235104224313
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",REGENCY CAKESTAND 3 TIER,6.66869626752187
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",26.495031973631473
"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER","PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",27.16202227346318
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER ","GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",22.9251966873706
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER","REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER ",22.925196687370597
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ","REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER",27.16202227346318
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE",LUNCH BAG  BLACK SKULL.,12.185957452607765
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT, LUNCH BAG  BLACK SKULL.",LUNCH BAG CARS BLUE,12.021308918824445
"LUNCH BAG PINK POLKADOT, LUNCH BAG CARS BLUE, LUNCH BAG  BLACK SKULL.",LUNCH BAG RED RETROSPOT,10.68047061634018
"LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE, LUNCH BAG  BLACK SKULL.",LUNCH BAG PINK POLKADOT,14.66319561171194
